Main Serial No.,Sr. No.,College Name,College Code,Merit No,Merit Marks,Gender,Candidate Type,Category,Home University,PH Type,Defence Type,HSC Eligibility,Seat Type,Fees Paid,CAP Round,Admitted/Uploaded Late,BRANCH,NATIONALITY
1,1,"AISSMS,Pune",6278,18840,23.9385,M,TYPE A,OPEN,MUMBAI,NA,NA,80,AI,107008,ROUND-1,NO,CHEMICAL,INDIAN
2,2,"AISSMS,Pune",6278,54528,53.3348,M,TYPE A,NT-C,PUNE,NA,NA,70.83,GNT2H,13462,ROUND-1,NO,CHEMICAL,INDIAN
3,3,"AISSMS,Pune",6278,33711,67.6209,M,TYPE A,OBC,PUNE,NA,NA,61.67,GOBCH,60235,ROUND-1,NO,CHEMICAL,INDIAN
4,4,"AISSMS,Pune",6278,42315,61.3212,M,TYPE A,OBC,PUNE,NA,NA,68.33,GOBCH,60235,ROUND-1,NO,CHEMICAL,INDIAN
5,5,"AISSMS,Pune",6278,21755,78.0387,M,TYPE A,OPEN,PUNE,NA,NA,58,GOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
6,6,"AISSMS,Pune",6278,21964,77.8523,M,TYPE A,OBC,PUNE,NA,NA,82.33,GOPENH,60235,ROUND-1,NO,CHEMICAL,INDIAN
7,7,"AISSMS,Pune",6278,25580,74.4879,M,TYPE A,OPEN,PUNE,NA,NA,70.17,GOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
8,8,"AISSMS,Pune",6278,26070,74.0626,M,TYPE A,OBC,PUNE,NA,NA,76,GOPENH,60235,ROUND-1,NO,CHEMICAL,INDIAN
9,9,"AISSMS,Pune",6278,26191,73.948,M,TYPE A,OPEN,PUNE,NA,NA,64.33,GOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
10,10,"AISSMS,Pune",6278,30605,70.1356,M,TYPE A,OPEN,PUNE,NA,NA,64,GOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
11,11,"AISSMS,Pune",6278,31220,69.626,M,TYPE A,OBC,PUNE,NA,NA,68.33,GOPENH,60235,ROUND-1,NO,CHEMICAL,INDIAN
12,12,"AISSMS,Pune",6278,18692,81.1585,M,TYPE A,OBC,S.R.T.M.U.,NA,NA,60.67,GOPENO,60235,ROUND-1,NO,CHEMICAL,INDIAN
13,13,"AISSMS,Pune",6278,19856,79.9378,M,TYPE A,OBC,SHIVAJI,NA,NA,81.17,GOPENO,60235,ROUND-1,NO,CHEMICAL,INDIAN
14,14,"AISSMS,Pune",6278,20538,79.2705,F,TYPE A,OPEN,MUMBAI,NA,NA,83,GOPENO,107008,ROUND-1,NO,CHEMICAL,INDIAN
15,15,"AISSMS,Pune",6278,63856,47.6362,M,TYPE A,SC,PUNE,NA,NA,58.67,GSCH,13462,ROUND-1,NO,CHEMICAL,INDIAN
16,16,"AISSMS,Pune",6278,71056,43.0445,M,TYPE A,SC,PUNE,NA,NA,53.67,GSCH,0,ROUND-1,NO,CHEMICAL,INDIAN
17,17,"AISSMS,Pune",6278,81467,35.7152,M,TYPE A,SC,PUNE,NA,NA,59,GSCH,13462,ROUND-1,NO,CHEMICAL,INDIAN
18,18,"AISSMS,Pune",6278,61584,49.0789,M,TYPE A,ST,NAGPUR,NA,NA,46.67,GSTO,13462,ROUND-1,NO,CHEMICAL,INDIAN
19,19,"AISSMS,Pune",6278,46574,58.4495,M,TYPE A,NT-D,PUNE,NA,NA,83,LNT3H,13462,ROUND-1,NO,CHEMICAL,INDIAN
20,20,"AISSMS,Pune",6278,43699,60.3951,M,TYPE A,OBC,PUNE,NA,NA,55.5,LOBCH,60235,ROUND-1,NO,CHEMICAL,INDIAN
21,21,"AISSMS,Pune",6278,31133,69.6819,F,TYPE C,OPEN,PUNE,NA,DEF 2,73.33,LOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
22,22,"AISSMS,Pune",6278,47599,57.7751,F,TYPE A,OPEN,PUNE,NA,DEF 3,68,LOPENH,107008,ROUND-1,NO,CHEMICAL,INDIAN
23,23,"AISSMS,Pune",6278,20319,79.4981,F,TYPE A,NT-D,NORTH MAHARASHTRA,NA,NA,64.67,LOPENO,13462,ROUND-1,NO,CHEMICAL,INDIAN
24,24,"AISSMS,Pune",6278,21071,26.9088,M,TYPE A,OPEN,SHIVAJI,NA,NA,67.67,AI,107008,ROUND-2,NO,CHEMICAL,INDIAN
25,25,"AISSMS,Pune",6278,22806,29.3072,M,TYPE A,OPEN,SOLAPUR,NA,NA,82,AI,107008,ROUND-2,NO,CHEMICAL,INDIAN
26,26,"AISSMS,Pune",6278,66490,45.99661918,M,TYPE A,NT-B,GONDWANA,NA,NA,50,GNT1O,13462,ROUND-2,NO,CHEMICAL,INDIAN
27,27,"AISSMS,Pune",6278,78910,37.64557124,M,TYPE A,OBC,PUNE,NA,NA,60.33,GOBCH,60235,ROUND-2,NO,CHEMICAL,INDIAN
28,28,"AISSMS,Pune",6278,33962,67.39946257,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,75.67,GOBCO,60235,ROUND-2,NO,CHEMICAL,INDIAN
