College Name,College Code,Merit Marks,Gender,Candidate Type,Category,Home University,HSC Eligibility,Fees Paid,CAP Round,BRANCH
"DY PATIL IET,PIMPRI",6207,71.6,F,TYPE A,OPEN,NAGPUR,78,30,ROUND-2,ELECTRICAL ENGINEERING
"PES MODERN COE, PUNE",6139,65.64,M,TYPE A,SBC,PUNE,58.67,243,COUNSELING ROUND,COMPUTER
"DY PATIL IET,PIMPRI",6207,35.33,F,TYPE A,SC,S.R.T.M.U.,46,550,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
"MMMIT, LOHGAON, PUNE",6203,75.33,F,TYPE A,OPEN,NAGPUR,80.33,1000,ROUND 2,COMPUTER
"MMMIT, LOHGAON, PUNE",6203,65.22,M,TYPE A,OPEN,BAMU,56.33,1000,ROUND 2,ENTC
"MAEER MIT, PUNE",6151,64.75,M,OMS,OPEN,OHU,64.67,1000,INSTITUTE LEVEL,MECHANICAL ENGINEERING
SINHGAD NARHE,6182,44.42,M,TYPE A,NT-D,BAMU,67.67,1000,COUNSELING ROUND,CIVIL
KJ TRINITY COER,6184,43.34,M,TYPE A,SC,PUNE,53,1000,ROUND 1,COMPUTER
"MMMIT, LOHGAON, PUNE",6203,40.53,M,TYPE A,OPEN,PUNE,57,1000,ROUND 2,MECHANICAL
"MMCOE, KARVENAGAR, PUNE",6156,35.94,M,TYPE A,OBC,PUNE,48.67,1000,COUNSELING ROUND,MECHANICAL
KJ TRINITY COER,6184,34.85,M,TYPE A,SC,PUNE,48.33,1000,ROUND 2,MECHANICAL
"PES MODERN COE, PUNE",6139,65.62,M,TYPE A,NT-B,AMRAVATI,71.67,1285,COUNSELING ROUND,ELECTRICAL
"PES MODERN COE, PUNE",6139,62.71,F,TYPE A,SC,PUNE,68.83,1285,ROUND 1,MECHANICAL
"DY PATIL IET,PIMPRI",6207,44.1,F,TYPE A,OBC,PUNE,48.67,1500,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
"KJCOEMR, PISOLI",6320,70.16,M,TYPE A,OBC,PUNE,68.83,2000,ROUND 1,MECHANICAL
SINHGAD NARHE,6182,59.8,M,TYPE A,DT/VJ,PUNE,59,2000,COUNSELING ROUND,CIVIL
"INDIRA COEM, PUNE",6179,43.57,M,TYPE A,OPEN,SRTMU,61,2000,ROUND 2,MECHANICAL
KJ TRINITY COER,6184,31.6,M,TYPE A,NT-C,PUNE,47,2133,ROUND 2,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,76.62,M,TYPE A,NT-C,PUNE,66.67,2157,COUNSELING ROUND,COMPUTER ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,74.74,M,TYPE A,SBC,SRTMU,69.67,2157,ROUND 2,CIVIL ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,69.03,M,TYPE A,NT-C,SRTMU,64,2157,COUNSELING  ROUND,INFORMATION TECHNOLOGY
"VIT, PUNE",6273,89.37,M,TYPE B,SC,NAGPUR,97.33,2315,COUNSELING ROUND,ENTC
SINHGAD KONDHWA (BK),6187,53.5,M,TYPE B,NT-C,AMRAVATI,76,2400,COUNSELING ROUND,MECHANICAL
"DY PATIL IET,PIMPRI",6207,39.35,M,TYPE A,SC,PUNE,58,2500,ROUND-2,MECHANICAL ENGINEERING
KJ TRINITY COER,6184,24.76,M,TYPE A,NT-D,SHIVAJI,45,2590,ROUND 2,COMPUTER
"MMCOE, KARVENAGAR, PUNE",6156,61.05,M,TYPE A,DT/VJ,NORTH MAHARASHTRA,60.33,3000,ROUND 2,ELECTRICAL
"AISSMS,Pune",6282,58.52,M,TYPE A ,OPEN,PUNE,60.17,3000,INSITITUT LEVEL,COMPUTER
KJ TRINITY COER,6184,35.82,M,TYPE A,SC,SOLAPUR,49.33,3000,ROUND 2,MECHANICAL
"MMCOE, KARVENAGAR, PUNE",6156,20.72,M,TYPE A,SC,AMRAVATI,50,3000,INSTITUTE LEVEL,MECHANICAL
"PVG CET, PUNE",6274,87.53,M,TYPE A,SC,MUMBAI,80,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,84.71,M,TYPE A,SC,SHIVAJI,73.33,3108,ROUND 1,COMPUTER
"PVG CET, PUNE",6274,83.31,M,TYPE A,SC,PUNE,81.83,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,83.17,M,TYPE A,SC,PUNE,73.83,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,78.83,M,TYPE A,SC,PUNE,83.17,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,78.67,M,TYPE A,SC,AMRAVATI,73.67,3108,COUNSELING ROUND,IT
"PVG CET, PUNE",6274,74.49,M,TYPE A,SC,AMRAVATI,63.67,3108,ROUND 2,ELECTRICAL
"PVG CET, PUNE",6274,71.44,M,TYPE A,SC,PUNE,80.33,3108,ROUND 1,MECHANICAL
