LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature.Metric.Value,Temperature.Metric.Unit,Temperature.Metric.UnitType,Temperature.Imperial.Value,Temperature.Imperial.Unit,Temperature.Imperial.UnitType,MobileLink,Link
2021-08-18T14:35:00+05:30,1629277500,Light fog,11,FALSE,NA,TRUE,27.2,C,17,81,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T13:35:00+05:30,1629273900,Rain,18,TRUE,Rain,TRUE,30,C,17,86,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T12:25:00+05:30,1629269700,Cloudy,7,FALSE,NA,TRUE,33.9,C,17,93,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T11:26:00+05:30,1629266160,Cloudy,7,FALSE,NA,TRUE,33.9,C,17,93,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T10:26:00+05:30,1629262560,Light fog,11,FALSE,NA,TRUE,32.8,C,17,91,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T09:26:00+05:30,1629258960,Rain,18,TRUE,Rain,TRUE,32.2,C,17,90,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T08:26:00+05:30,1629255360,Light fog,11,FALSE,NA,TRUE,31.1,C,17,88,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T07:26:00+05:30,1629251760,Light fog,11,FALSE,NA,TRUE,28.9,C,17,84,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T06:26:00+05:30,1629248160,Light fog,11,FALSE,NA,TRUE,27.2,C,17,81,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T05:26:00+05:30,1629244560,Light fog,11,FALSE,NA,FALSE,27.2,C,17,81,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T04:26:00+05:30,1629240960,Light fog,11,FALSE,NA,FALSE,27.2,C,17,81,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T03:25:00+05:30,1629237300,Light fog,11,FALSE,NA,FALSE,27.8,C,17,82,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T02:25:00+05:30,1629233700,Light fog,11,FALSE,NA,FALSE,27.8,C,17,82,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T01:25:00+05:30,1629230100,Light fog,11,FALSE,NA,FALSE,27.8,C,17,82,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-18T00:26:00+05:30,1629226560,Light fog,11,FALSE,NA,FALSE,28.9,C,17,84,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-17T23:25:00+05:30,1629222900,Light fog,11,FALSE,NA,FALSE,28.9,C,17,84,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-17T22:26:00+05:30,1629219360,Light fog,11,FALSE,NA,FALSE,28.9,C,17,84,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-17T21:26:00+05:30,1629215760,Light fog,11,FALSE,NA,FALSE,28.9,C,17,84,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-17T20:25:00+05:30,1629212100,Light fog,11,FALSE,NA,FALSE,30,C,17,86,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
2021-08-17T19:25:00+05:30,1629208500,Light fog,11,FALSE,NA,FALSE,30,C,17,86,F,18,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us,http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us
